..\bba\Runout_after_1N_X.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  2H-E      -140          9874.62.Q9642.96 T32.T9874.87.T32 AQJ6.Q3.K53.KQ75 K5.AKJ5.AJT.AJ84 | 1N-X=1=-P-2H | Cappelletti, strong
    2  1N-X=1=-3C=2=-P-3D=3=-X-P-3H | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
    2  1N-X=1=-3C=2=-P-3D=3=-X-P-3H-P-P-4D | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
    1  1N-X=1=-3C=2=-P-3D=3=-X-P-3H-P-P-4D-4H-P-P-X | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
    1  1N-X=1=-3C=2=-P-3D=3=-X-P-3H-P-P-4D-P-P-X | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
    2  1N-X=1=-3C=2=-P-3D=3=-X-P-3S | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
    1  1N-X=1=-3C=2=-P-3D=3=-X-P-4C-X | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
    1  1N-X=1=-3C=2=-P-3D=3=-X-XX-4C-X | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
    1  1N-X=1=-3C=2=-X-P-P-3D-4C | Cappelletti, strong | 1N-3C transfer to diamonds
    1  1N-X=1=-4S=2=-5H-P-P-X | Cappelletti, strong | Minors
    1  1N-X=1=-4S=2=-P-5C-X | Cappelletti, strong | Minors
    1  1N-X=1=-4S=2=-P-5D-X | Cappelletti, strong | Minors
    9  1N-X=1=-P-2C | Cappelletti, strong
    1  1N-X=1=-P-2C-2D-P-3D | Cappelletti, strong
   10  1N-X=1=-P-2C-P-P-2D | Cappelletti, strong
    1  1N-X=1=-P-2C-P-P-2D-3C | Cappelletti, strong
    1  1N-X=1=-P-2C-P-P-2D-3C-3D | Cappelletti, strong
    2  1N-X=1=-P-2C-P-P-2D-P-3C=2=-P-3D | Cappelletti, strong | Limit raise or better in !D
    1  1N-X=1=-P-2C-P-P-2D-P-3C=2=-X-P-P-3D | Cappelletti, strong | Limit raise or better in !D
    1  1N-X=1=-P-2C-P-P-2D-P-P-X | Cappelletti, strong
   17  1N-X=1=-P-2D | Cappelletti, strong
    1  1N-X=1=-P-2D-P-P-3C | Cappelletti, strong
    1  1N-X=1=-P-2D-P-P-3C-P-P-3D | Cappelletti, strong
   58  1N-X=1=-P-2H | Cappelletti, strong
    7  1N-X=1=-P-2H-P-P-3C | Cappelletti, strong
    7  1N-X=1=-P-2H-P-P-3D | Cappelletti, strong
    2  1N-X=1=-P-2H-P-P-X | Cappelletti, strong
    3  1N-X=1=-P-2N-P-3N | Cappelletti, strong
   70  1N-X=1=-P-2S | Cappelletti, strong
    1  1N-X=1=-P-2S-P-3S-P-4S | Cappelletti, strong
    5  1N-X=1=-P-2S-P-P-3C | Cappelletti, strong
    1  1N-X=1=-P-2S-P-P-3C-P-3S=2=-P-4C | Cappelletti, strong | Limit raise or better in !C
    1  1N-X=1=-P-2S-P-P-3C-P-P-X | Cappelletti, strong
    5  1N-X=1=-P-2S-P-P-3D | Cappelletti, strong
    1  1N-X=1=-P-2S-P-P-3D-4S | Cappelletti, strong
    1  1N-X=1=-P-2S-P-P-X-P-3D | Cappelletti, strong
    1  1N-X=1=-P-2S-P-P-X-P-3H | Cappelletti, strong
    1  1N-X=1=-P-2S-P-P-X-P-3H-P-P-3S | Cappelletti, strong
    2  1N-X=1=-P-P-2C | Cappelletti, strong
    1  1N-X=1=-P-P-2C-P-P-X | Cappelletti, strong
    1  1N-X=1=-P-P-2C-X-P-2S | Cappelletti, strong
    8  1N-X=1=-P-P-2D | Cappelletti, strong
    1  1N-X=1=-P-P-2D-P-P-2H | Cappelletti, strong
    1  1N-X=1=-P-P-2D-P-P-X | Cappelletti, strong
    8  1N-X=1=-P-P-2H | Cappelletti, strong
    1  1N-X=1=-P-P-2H-P-P-X | Cappelletti, strong
    8  1N-X=1=-P-P-2S | Cappelletti, strong
    2  1N-X=1=-P-P-2S-P-P-X | Cappelletti, strong
    1  1N-X=1=-P-P-2S-X-P-3C | Cappelletti, strong
    2  1N-X=1=-P-P-XX=2= | Cappelletti, strong | SOS
    1  1N-X=1=-P-P-XX=2=-3D | Cappelletti, strong | SOS
    2  1N-X=1=-P-P-XX=2=-P-2C=3=-2D | Cappelletti, strong | SOS | Artificial
    1  1N-X=1=-P-P-XX=2=-P-2C=3=-2H-P-4H | Cappelletti, strong | SOS | Artificial
    1  1N-X=1=-P-P-XX=2=-P-2C=3=-2N-P-3H-P-4H | Cappelletti, strong | SOS | Artificial
    1  1N-X=1=-P-P-XX=2=-P-2C=3=-2S | Cappelletti, strong | SOS | Artificial
    2  1N-X=1=-P-P-XX=2=-P-2C=3=-2S-P-3S | Cappelletti, strong | SOS | Artificial
    1  1N-X=1=-P-P-XX=2=-P-2C=3=-4S | Cappelletti, strong | SOS | Artificial
    4  1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D | Cappelletti, strong | SOS | Artificial
    1  1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D-P-2H-P-2S-P-P-X | Cappelletti, strong | SOS | Artificial
    2  1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D-P-2H-X-2S-X | Cappelletti, strong | SOS | Artificial
    2  1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D-P-2S | Cappelletti, strong | SOS | Artificial
    2  1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D-P-2S-X | Cappelletti, strong | SOS | Artificial
    2  1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D-P-P-X | Cappelletti, strong | SOS | Artificial
    5  1N-X=1=-P-P-XX=2=-P-2C=3=-P-2H-P-2S | Cappelletti, strong | SOS | Artificial
    1  1N-X=1=-P-P-XX=2=-P-2C=3=-P-2H-P-2S-X | Cappelletti, strong | SOS | Artificial
    1  1N-X=1=-P-P-XX=2=-P-2C=3=-P-2H-P-P-X | Cappelletti, strong | SOS | Artificial
    1  1N-X=1=-P-P-XX=2=-P-2C=3=-P-2H-X | Cappelletti, strong | SOS | Artificial
    1  1N-X=1=-P-P-XX=2=-P-2C=3=-P-2H-X-2S | Cappelletti, strong | SOS | Artificial
    1  1N-X=1=-P-P-XX=2=-P-2C=3=-P-2S | Cappelletti, strong | SOS | Artificial
    5  1N-X=1=-P-P-XX=2=-P-2D | Cappelletti, strong | SOS
    1  1N-X=1=-P-P-XX=2=-P-2D-2H-P-3D=3=-P-4H | Cappelletti, strong | SOS | Limit raise or better in !H
    2  1N-X=1=-P-P-XX=2=-P-2D-2S-P-3D=3=-P-3S | Cappelletti, strong | SOS | Limit raise or better in !S
    2  1N-X=1=-P-P-XX=2=-P-2D-P-2H | Cappelletti, strong | SOS
    1  1N-X=1=-P-P-XX=2=-P-2D-P-2S | Cappelletti, strong | SOS
    1  1N-X=1=-P-P-XX=2=-P-2D-P-2S-P-P-X | Cappelletti, strong | SOS
    2  1N-X=1=-P-P-XX=2=-P-2D-X-2H-X | Cappelletti, strong | SOS
    6  1N-X=1=-XX | Cappelletti, strong
    3  1N-X=1=-XX-2C | Cappelletti, strong
    2  1N-X=1=-XX-2C-P-P-X | Cappelletti, strong
    3  1N-X=1=-XX-2C-X | Cappelletti, strong
    3  1N-X=1=-XX-2H | Cappelletti, strong
    1  1N-X=1=-XX-2H-2S-P-2N | Cappelletti, strong
    1  1N-X=1=-XX-2H-P-P-2N | Cappelletti, strong
    2  1N-X=1=-XX-2H-P-P-3D | Cappelletti, strong
    4  1N-X=1=-XX-2H-X | Cappelletti, strong
    1  1N-X=1=-XX-2H-X-P-3D | Cappelletti, strong
    4  1N-X=1=-XX-2S | Cappelletti, strong
    3  1N-X=1=-XX-2S-P-P-3D | Cappelletti, strong
    3  1N-X=1=-XX-2S-X | Cappelletti, strong

   -- Sorted Summary of Notes (the first character is forced to upper case) --

   35  1N-2S transfer to clubs
   56  1N-3C transfer to diamonds
    1  A=2/5 or 5/5, Q(S)=1
   34  Artificial
   82  Automat
    1  Blackwood 0314, for !S
  488  Cappelletti, strong
    1  Extended acceptance after NT
    1  Limit raise or better in !C
    5  Limit raise or better in !D
    1  Limit raise or better in !H
    7  Limit raise or better in !S
    3  Minors
   48  SOS
    6  Stayman
    1  Super acceptance after NT
    3  Support
